customer_id,name,email,phone,tenure,monthly_charges,total_charges,contract,internet_service,payment_method,tech_support,online_security,churn
C10001,Customer 10001,customer10001@example.com,+91-9000010000,7,34.98,232.06,Month-to-month,Fiber optic,Credit card,No,No,1
C10002,Customer 10002,customer10002@example.com,+91-9000010001,56,35.74,2065.89,Month-to-month,DSL,Bank transfer,No,No,0
C10003,Customer 10003,customer10003@example.com,+91-9000010002,48,36.53,1742.31,Month-to-month,Fiber optic,Credit card,Yes,No,0
C10004,Customer 10004,customer10004@example.com,+91-9000010003,32,86.96,2591.58,One year,Fiber optic,Credit card,Yes,Yes,0
C10005,Customer 10005,customer10005@example.com,+91-9000010004,32,37.2,1128.95,Month-to-month,No,Electronic check,No,Yes,0
C10006,Customer 10006,customer10006@example.com,+91-9000010005,62,110.24,6442.32,Month-to-month,No,Electronic check,Yes,No,1
C10007,Customer 10007,customer10007@example.com,+91-9000010006,7,100.43,716.48,Month-to-month,Fiber optic,Electronic check,Yes,No,0
C10008,Customer 10008,customer10008@example.com,+91-9000010007,51,106.98,5095.73,Month-to-month,DSL,Electronic check,No,No,1
C10009,Customer 10009,customer10009@example.com,+91-9000010008,15,77.61,1224.32,Two year,Fiber optic,Bank transfer,No,Yes,0
C10010,Customer 10010,customer10010@example.com,+91-9000010009,7,124.67,915.51,Month-to-month,DSL,Electronic check,Yes,No,0
C10011,Customer 10011,customer10011@example.com,+91-9000010010,38,29.42,1042.84,Two year,No,Bank transfer,No,No,0
C10012,Customer 10012,customer10012@example.com,+91-9000010011,71,65.13,4911.45,Month-to-month,DSL,Electronic check,No,No,1
C10013,Customer 10013,customer10013@example.com,+91-9000010012,53,57.39,3265.13,Month-to-month,DSL,Electronic check,No,Yes,0
C10014,Customer 10014,customer10014@example.com,+91-9000010013,55,119.86,6110.76,Month-to-month,Fiber optic,Credit card,Yes,Yes,0
C10015,Customer 10015,customer10015@example.com,+91-9000010014,52,82.69,4609.7,Month-to-month,Fiber optic,Bank transfer,Yes,No,1
C10016,Customer 10016,customer10016@example.com,+91-9000010015,57,105.62,5807.91,One year,Fiber optic,Bank transfer,Yes,No,0
C10017,Customer 10017,customer10017@example.com,+91-9000010016,37,42.03,1596.11,Month-to-month,DSL,Credit card,No,No,0
C10018,Customer 10018,customer10018@example.com,+91-9000010017,10,122.86,1164.68,Month-to-month,Fiber optic,Mailed check,No,Yes,0
C10019,Customer 10019,customer10019@example.com,+91-9000010018,61,74.86,4798.4,One year,DSL,Bank transfer,Yes,Yes,0
C10020,Customer 10020,customer10020@example.com,+91-9000010019,33,74.37,2588.47,One year,DSL,Electronic check,Yes,Yes,1
C10021,Customer 10021,customer10021@example.com,+91-9000010020,37,122.09,4863.06,Two year,Fiber optic,Electronic check,Yes,No,0
C10022,Customer 10022,customer10022@example.com,+91-9000010021,27,63.07,1837.09,Two year,DSL,Mailed check,Yes,Yes,0
C10023,Customer 10023,customer10023@example.com,+91-9000010022,14,64.75,844.98,One year,Fiber optic,Credit card,No,No,1
C10024,Customer 10024,customer10024@example.com,+91-9000010023,67,83.48,5734.52,Two year,DSL,Credit card,Yes,No,0
C10025,Customer 10025,customer10025@example.com,+91-9000010024,57,37.81,2076.91,One year,DSL,Credit card,Yes,No,0
C10026,Customer 10026,customer10026@example.com,+91-9000010025,47,57.11,2523.37,Month-to-month,Fiber optic,Electronic check,No,Yes,0
C10027,Customer 10027,customer10027@example.com,+91-9000010026,29,44.32,1213.06,One year,DSL,Bank transfer,Yes,No,0
C10028,Customer 10028,customer10028@example.com,+91-9000010027,60,35.33,2267.83,Month-to-month,Fiber optic,Credit card,Yes,No,1
C10029,Customer 10029,customer10029@example.com,+91-9000010028,40,111.61,4595.58,One year,Fiber optic,Credit card,No,Yes,0
C10030,Customer 10030,customer10030@example.com,+91-9000010029,32,83.93,2492.58,Two year,DSL,Electronic check,Yes,No,1
C10031,Customer 10031,customer10031@example.com,+91-9000010030,33,60.87,2164.34,Month-to-month,Fiber optic,Bank transfer,Yes,Yes,0
C10032,Customer 10032,customer10032@example.com,+91-9000010031,17,65.87,1174.94,Two year,DSL,Electronic check,No,No,0
C10033,Customer 10033,customer10033@example.com,+91-9000010032,7,68.15,462.49,Two year,Fiber optic,Mailed check,No,No,0
C10034,Customer 10034,customer10034@example.com,+91-9000010033,40,88.31,3515.93,Month-to-month,DSL,Electronic check,Yes,Yes,0
C10035,Customer 10035,customer10035@example.com,+91-9000010034,64,117.68,7804.55,Month-to-month,Fiber optic,Credit card,No,No,1
C10036,Customer 10036,customer10036@example.com,+91-9000010035,5,118.28,608.06,Two year,Fiber optic,Electronic check,Yes,No,1
C10037,Customer 10037,customer10037@example.com,+91-9000010036,62,64.15,3953.81,Two year,Fiber optic,Bank transfer,No,No,0
C10038,Customer 10038,customer10038@example.com,+91-9000010037,60,57.93,3482.69,Month-to-month,No,Bank transfer,No,Yes,1
C10039,Customer 10039,customer10039@example.com,+91-9000010038,20,70.1,1299.53,Month-to-month,DSL,Electronic check,No,Yes,0
C10040,Customer 10040,customer10040@example.com,+91-9000010039,46,81.79,3762.72,One year,No,Credit card,Yes,No,0
C10041,Customer 10041,customer10041@example.com,+91-9000010040,12,71.18,832.33,Month-to-month,Fiber optic,Mailed check,No,No,1
C10042,Customer 10042,customer10042@example.com,+91-9000010041,55,90.88,4826.5,Month-to-month,No,Credit card,No,No,0
C10043,Customer 10043,customer10043@example.com,+91-9000010042,51,80.44,3951.22,Month-to-month,No,Electronic check,Yes,Yes,0
C10044,Customer 10044,customer10044@example.com,+91-9000010043,26,57.07,1519.18,Month-to-month,No,Credit card,No,No,1
C10045,Customer 10045,customer10045@example.com,+91-9000010044,5,59.57,294.48,One year,DSL,Bank transfer,No,Yes,0
C10046,Customer 10046,customer10046@example.com,+91-9000010045,70,62.86,4347.96,One year,Fiber optic,Bank transfer,No,No,0
C10047,Customer 10047,customer10047@example.com,+91-9000010046,33,34.46,1075.17,One year,Fiber optic,Bank transfer,No,Yes,0
C10048,Customer 10048,customer10048@example.com,+91-9000010047,65,41.61,2904.52,One year,Fiber optic,Bank transfer,No,Yes,0
C10049,Customer 10049,customer10049@example.com,+91-9000010048,49,97.31,4557.57,Month-to-month,DSL,Electronic check,No,Yes,1
C10050,Customer 10050,customer10050@example.com,+91-9000010049,57,63.91,3588.14,Month-to-month,No,Bank transfer,No,No,0
C10051,Customer 10051,customer10051@example.com,+91-9000010050,55,46.45,2428.12,Month-to-month,DSL,Electronic check,No,Yes,1
C10052,Customer 10052,customer10052@example.com,+91-9000010051,15,81.27,1258.67,Month-to-month,Fiber optic,Electronic check,No,No,1
C10053,Customer 10053,customer10053@example.com,+91-9000010052,27,100.55,2687.11,Month-to-month,Fiber optic,Electronic check,No,Yes,1
C10054,Customer 10054,customer10054@example.com,+91-9000010053,34,50.74,1701.33,Month-to-month,DSL,Electronic check,No,No,1
C10055,Customer 10055,customer10055@example.com,+91-9000010054,36,107.68,4109.13,Month-to-month,Fiber optic,Credit card,No,No,0
C10056,Customer 10056,customer10056@example.com,+91-9000010055,4,117.75,490.55,Month-to-month,DSL,Bank transfer,No,Yes,1
C10057,Customer 10057,customer10057@example.com,+91-9000010056,40,84.74,3400.38,One year,Fiber optic,Electronic check,Yes,Yes,1
C10058,Customer 10058,customer10058@example.com,+91-9000010057,12,91.89,1097.14,One year,Fiber optic,Credit card,No,Yes,1
C10059,Customer 10059,customer10059@example.com,+91-9000010058,54,30.26,1754.28,Two year,DSL,Mailed check,Yes,No,0
C10060,Customer 10060,customer10060@example.com,+91-9000010059,50,119.55,6414.06,One year,Fiber optic,Mailed check,Yes,No,0
C10061,Customer 10061,customer10061@example.com,+91-9000010060,67,64.25,4445.79,One year,DSL,Credit card,No,Yes,0
C10062,Customer 10062,customer10062@example.com,+91-9000010061,54,117.39,6602.91,Month-to-month,Fiber optic,Mailed check,No,No,1
C10063,Customer 10063,customer10063@example.com,+91-9000010062,27,82.9,2381.23,One year,No,Bank transfer,No,No,0
